orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,common_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,container_no,reference_no,is_extant,n_occs,early_interval,late_interval,taxon_size,extant_size,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
38638,38638,txn,,genus,Azendohsaurus,,,38638,genus,Azendohsaurus,371615,,16644,extinct,4,Ladinian,Carnian,3,0,Chordata,Reptilia,Eosuchia,Azendohsauridae,Azendohsaurus,Azendohsaurus madagaskarensis,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
64678,64678,txn,,species,Azendohsaurus laaroussii,,,64678,species,Azendohsaurus laaroussii,38638,,16644,extinct,1,Carnian,,1,0,Chordata,Reptilia,Eosuchia,Azendohsauridae,Azendohsaurus,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
167012,167012,txn,,species,Azendohsaurus madagaskarensis,,,167012,species,Azendohsaurus madagaskarensis,38638,,32645,extinct,1,Ladinian,Carnian,1,0,Chordata,Reptilia,Eosuchia,Azendohsauridae,Azendohsaurus,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
UF9,,txn,,family,NO_FAMILY_SPECIFIED,,,,,,,347447,,,46,,,,,,,,,,,,,,,,,,,,,,,
38204,38204,txn,,genus,Trilophosaurus,,,38204,genus,Trilophosaurus,347447,UF9,43393,extinct,46,Carnian,Norian,3,0,Chordata,Reptilia,Eosuchia,,Trilophosaurus,,terrestrial,Diapsida,actively mobile,,,herbivore,,,,hydroxyapatite,,,
64922,64922,txn,,species,Trilophosaurus buettneri,,,64922,species,Trilophosaurus buettneri,38204,,43393,extinct,13,Carnian,Norian,1,0,Chordata,Reptilia,Eosuchia,,Trilophosaurus,,terrestrial,Diapsida,actively mobile,,,herbivore,,,,hydroxyapatite,,,
69041,69041,txn,,species,Trilophosaurus jacobsi,,,69041,species,Trilophosaurus jacobsi,38204,,32082,extinct,7,Carnian,Norian,1,0,Chordata,Reptilia,Eosuchia,,Trilophosaurus,,terrestrial,Diapsida,actively mobile,,,herbivore,,,,hydroxyapatite,,,
57091,57091,txn,,unranked clade,Archosauriformes,,,57091,unranked clade,Archosauriformes,347446,,10333,extant,3128,Lopingian,Cenozoic,10847,2621,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
66477,66477,txn,,unranked clade,Crurotarsi,,,66477,unranked clade,Crurotarsi,57091,,13805,extant,9,Late Triassic,,5,2,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
97930,97930,txn,,unranked clade,Crocodylotarsi,,,97930,unranked clade,Crocodylotarsi,66477,,7746,extant,6,Carnian,Norian,1,1,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
